battery,dataset,n,d,labels,k,noise
h2mg,h2mg_4_80,2048,4,labels1,2,0
h2mg,h2mg_4_90,2048,4,labels0,2,0
h2mg,h2mg_4_90,2048,4,labels1,2,0
h2mg,h2mg_8_10,2048,8,labels0,2,0
h2mg,h2mg_8_10,2048,8,labels1,2,0
h2mg,h2mg_8_20,2048,8,labels0,2,0
h2mg,h2mg_8_20,2048,8,labels1,2,0
h2mg,h2mg_8_30,2048,8,labels0,2,0
h2mg,h2mg_8_30,2048,8,labels1,2,0
h2mg,h2mg_8_40,2048,8,labels0,2,0
h2mg,h2mg_8_40,2048,8,labels1,2,0
h2mg,h2mg_8_50,2048,8,labels0,2,0
h2mg,h2mg_8_50,2048,8,labels1,2,0
h2mg,h2mg_8_60,2048,8,labels0,2,0
h2mg,h2mg_8_60,2048,8,labels1,2,0
h2mg,h2mg_8_70,2048,8,labels0,2,0
h2mg,h2mg_8_70,2048,8,labels1,2,0
h2mg,h2mg_8_80,2048,8,labels0,2,0
h2mg,h2mg_8_80,2048,8,labels1,2,0
h2mg,h2mg_8_90,2048,8,labels0,2,0
h2mg,h2mg_8_90,2048,8,labels1,2,0
h2mg,h2mg_16_10,2048,16,labels0,2,0
h2mg,h2mg_16_10,2048,16,labels1,2,0
h2mg,h2mg_16_20,2048,16,labels0,2,0
h2mg,h2mg_16_20,2048,16,labels1,2,0
h2mg,h2mg_16_30,2048,16,labels0,2,0
h2mg,h2mg_16_30,2048,16,labels1,2,0
h2mg,h2mg_16_40,2048,16,labels0,2,0
h2mg,h2mg_16_40,2048,16,labels1,2,0
h2mg,h2mg_16_50,2048,16,labels0,2,0
h2mg,h2mg_16_50,2048,16,labels1,2,0
h2mg,h2mg_16_60,2048,16,labels0,2,0
h2mg,h2mg_16_60,2048,16,labels1,2,0
h2mg,h2mg_16_70,2048,16,labels0,2,0
h2mg,h2mg_16_70,2048,16,labels1,2,0
h2mg,h2mg_16_80,2048,16,labels0,2,0
h2mg,h2mg_16_80,2048,16,labels1,2,0
h2mg,h2mg_16_90,2048,16,labels0,2,0
h2mg,h2mg_16_90,2048,16,labels1,2,0
h2mg,h2mg_32_10,2048,32,labels0,2,0
h2mg,h2mg_32_10,2048,32,labels1,2,0
h2mg,h2mg_32_20,2048,32,labels0,2,0
h2mg,h2mg_32_20,2048,32,labels1,2,0
h2mg,h2mg_32_30,2048,32,labels0,2,0
h2mg,h2mg_32_30,2048,32,labels1,2,0
h2mg,h2mg_32_40,2048,32,labels0,2,0
h2mg,h2mg_32_40,2048,32,labels1,2,0
h2mg,h2mg_32_50,2048,32,labels0,2,0
h2mg,h2mg_32_50,2048,32,labels1,2,0
h2mg,h2mg_32_60,2048,32,labels0,2,0
h2mg,h2mg_32_60,2048,32,labels1,2,0
h2mg,h2mg_32_70,2048,32,labels0,2,0
h2mg,h2mg_32_70,2048,32,labels1,2,0
h2mg,h2mg_32_80,2048,32,labels0,2,0
h2mg,h2mg_32_80,2048,32,labels1,2,0
h2mg,h2mg_32_90,2048,32,labels0,2,0
h2mg,h2mg_32_90,2048,32,labels1,2,0
h2mg,h2mg_64_10,2048,64,labels0,2,0
h2mg,h2mg_64_10,2048,64,labels1,2,0
h2mg,h2mg_64_20,2048,64,labels0,2,0
h2mg,h2mg_64_20,2048,64,labels1,2,0
h2mg,h2mg_64_30,2048,64,labels0,2,0
h2mg,h2mg_64_30,2048,64,labels1,2,0
h2mg,h2mg_64_40,2048,64,labels0,2,0
h2mg,h2mg_64_40,2048,64,labels1,2,0
h2mg,h2mg_64_50,2048,64,labels0,2,0
h2mg,h2mg_64_50,2048,64,labels1,2,0
h2mg,h2mg_64_60,2048,64,labels0,2,0
h2mg,h2mg_64_60,2048,64,labels1,2,0
h2mg,h2mg_64_70,2048,64,labels0,2,0
h2mg,h2mg_64_70,2048,64,labels1,2,0
h2mg,h2mg_64_80,2048,64,labels0,2,0
h2mg,h2mg_64_80,2048,64,labels1,2,0
h2mg,h2mg_64_90,2048,64,labels0,2,0
h2mg,h2mg_64_90,2048,64,labels1,2,0
h2mg,h2mg_128_10,2048,128,labels0,2,0
h2mg,h2mg_128_10,2048,128,labels1,2,0
h2mg,h2mg_128_20,2048,128,labels0,2,0
h2mg,h2mg_128_20,2048,128,labels1,2,0
h2mg,h2mg_128_30,2048,128,labels0,2,0
h2mg,h2mg_128_30,2048,128,labels1,2,0
h2mg,h2mg_128_40,2048,128,labels0,2,0
h2mg,h2mg_128_40,2048,128,labels1,2,0
h2mg,h2mg_128_50,2048,128,labels0,2,0
h2mg,h2mg_128_50,2048,128,labels1,2,0
h2mg,h2mg_128_60,2048,128,labels0,2,0
h2mg,h2mg_128_60,2048,128,labels1,2,0
h2mg,h2mg_128_70,2048,128,labels0,2,0
h2mg,h2mg_128_70,2048,128,labels1,2,0
h2mg,h2mg_128_80,2048,128,labels0,2,0
h2mg,h2mg_128_80,2048,128,labels1,2,0
h2mg,h2mg_128_90,2048,128,labels0,2,0
h2mg,h2mg_128_90,2048,128,labels1,2,0
